neighborhood_municipality,indv_tested,cases,deaths,update_date
Aleppo,367,8,0,2020-11-02
Allegheny Center (Pittsburgh),209,18,0,2020-11-02
Allegheny West (Pittsburgh),102,3,0,2020-11-02
Allentown (Pittsburgh),346,32,0,2020-11-02
Arlington (Pittsburgh),277,27,1,2020-11-02
Arlington Heights (Pittsburgh),52,1,1,2020-11-02
Aspinwall,395,19,0,2020-11-02
Avalon,776,42,4,2020-11-02
Baldwin Borough,4118,646,12,2020-11-02
Baldwin Township,284,27,1,2020-11-02
Banksville (Pittsburgh),688,83,11,2020-11-02
Bedford Dwellings (Pittsburgh),215,22,2,2020-11-02
Beechview (Pittsburgh),1124,53,0,2020-11-02
Bell Acres,175,9,0,2020-11-02
Bellevue,1375,95,0,2020-11-02
Beltzhoover (Pittsburgh),254,26,1,2020-11-02
Ben Avon,292,15,0,2020-11-02
Ben Avon Heights,69,5,0,2020-11-02
Bethel Park,4399,280,3,2020-11-02
Blawnox,210,15,1,2020-11-02
Bloomfield (Pittsburgh),1714,89,1,2020-11-02
Bluff (Pittsburgh),3841,119,0,2020-11-02
Bon Air (Pittsburgh),84,6,0,2020-11-02
Brackenridge,764,40,1,2020-11-02
Braddock,398,29,0,2020-11-02
Braddock Hills,290,20,0,2020-11-02
Bradford Woods,174,13,0,2020-11-02
Brentwood,1727,172,1,2020-11-02
Bridgeville,609,53,0,2020-11-02
Brighton Heights (Pittsburgh),1733,99,0,2020-11-02
Brookline (Pittsburgh),2025,158,1,2020-11-02
California-Kirkbride (Pittsburgh),123,12,1,2020-11-02
Carnegie,1035,87,0,2020-11-02
Carrick (Pittsburgh),1566,158,3,2020-11-02
Castle Shannon,1230,121,4,2020-11-02
Central Business District (Pittsburgh),968,76,0,2020-11-02
Central Lawrenceville (Pittsburgh),988,59,6,2020-11-02
Central Northside (Pittsburgh),643,45,0,2020-11-02
Central Oakland (Pittsburgh),1379,244,0,2020-11-02
Chalfant,147,20,1,2020-11-02
Chartiers City (Pittsburgh),69,2,0,2020-11-02
Chateau (Pittsburgh),20,0,0,2020-11-02
Cheswick,276,15,0,2020-11-02
Churchill,593,34,1,2020-11-02
Clairton,1235,120,2,2020-11-02
Collier,1268,102,0,2020-11-02
Coraopolis,682,56,5,2020-11-02
Crafton,1022,86,3,2020-11-02
Crafton Heights (Pittsburgh),545,69,0,2020-11-02
Crawford-Roberts (Pittsburgh),723,49,2,2020-11-02
Crescent,236,22,2,2020-11-02
Dormont,1287,97,1,2020-11-02
Dravosburg,237,13,0,2020-11-02
Duquesne,889,90,4,2020-11-02
Duquesne Heights (Pittsburgh),1653,35,0,2020-11-02
East Allegheny (Pittsburgh),417,30,2,2020-11-02
East Carnegie (Pittsburgh),92,3,0,2020-11-02
East Deer,240,8,0,2020-11-02
East Hills (Pittsburgh),446,43,1,2020-11-02
East Liberty (Pittsburgh),1171,83,3,2020-11-02
East Mckeesport,300,29,1,2020-11-02
East Pittsburgh,295,22,0,2020-11-02
Edgewood,672,29,0,2020-11-02
Edgeworth,314,15,0,2020-11-02
Elizabeth Borough,205,18,0,2020-11-02
Elizabeth Township,1780,133,5,2020-11-02
Elliott (Pittsburgh),324,21,0,2020-11-02
Emsworth,326,23,0,2020-11-02
Esplen (Pittsburgh),26,3,0,2020-11-02
Etna,606,38,0,2020-11-02
Fairywood (Pittsburgh),367,25,1,2020-11-02
Fawn,336,27,0,2020-11-02
Findlay,649,59,3,2020-11-02
Fineview (Pittsburgh),179,12,0,2020-11-02
Forest Hills,1111,55,0,2020-11-02
Forward,353,22,0,2020-11-02
Fox Chapel,1339,87,1,2020-11-02
Franklin Park,2254,130,3,2020-11-02
Frazer,164,11,0,2020-11-02
Friendship (Pittsburgh),377,10,0,2020-11-02
Garfield (Pittsburgh),779,49,2,2020-11-02
Glassport,635,50,1,2020-11-02
Glen Hazel (Pittsburgh),317,95,21,2020-11-02
Glen Osborne,84,6,0,2020-11-02
Glenfield,30,4,0,2020-11-02
Green Tree,724,61,1,2020-11-02
Greenfield (Pittsburgh),1266,75,4,2020-11-02
Hampton,3023,219,3,2020-11-02
Harmar,708,40,0,2020-11-02
Harrison,1482,100,1,2020-11-02
Hays (Pittsburgh),45,6,0,2020-11-02
Haysville,13,2,0,2020-11-02
Hazelwood (Pittsburgh),720,56,0,2020-11-02
Heidelberg,177,7,0,2020-11-02
Highland Park (Pittsburgh),1640,85,3,2020-11-02
Homestead,504,43,0,2020-11-02
Homewood North (Pittsburgh),440,44,0,2020-11-02
Homewood South (Pittsburgh),402,26,0,2020-11-02
Homewood West (Pittsburgh),115,9,0,2020-11-02
Indiana,1325,89,0,2020-11-02
Ingram,449,51,0,2020-11-02
Jefferson Hills,2100,212,11,2020-11-02
Kennedy,1704,149,20,2020-11-02
Kilbuck,114,6,0,2020-11-02
Knoxville (Pittsburgh),489,51,0,2020-11-02
Larimer (Pittsburgh),592,28,0,2020-11-02
Leet,188,10,0,2020-11-02
Leetsdale,138,7,0,2020-11-02
Liberty,334,23,0,2020-11-02
Lincoln,134,13,0,2020-11-02
Lincoln Place (Pittsburgh),431,30,1,2020-11-02
