PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
236465923,20186838,6,2020-10-06T13:09:00,"100 Block Hazlett St Pittsburgh, PA 15214",N,Northview Heights,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2609,1,1,-80.0016475315907,40.4771220938326
238382015,20204393,27,2020-11-01T12:00:00,"1100 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,203,7,6,-79.9935642386456,40.4460104298083
237046604,20192734,14,2020-10-15T08:30:00,"2100 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,CRIM MISCHIEF,3304 Criminal Mischief.,2902,4,3,-79.9865235535491,40.3931998334253
237046785,20192702,10,2020-10-15T07:30:00,"6600 Block Lyric St Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,HARRASSMENT,2709(a) Harassment.,1203,9,2,-79.9051454512724,40.4645034389168
237048867,20192753,27,2020-10-15T09:20:00,"Fort Duquesne Blvd & Fort Duquesne Blvd Ramp Pittsburgh, PA 15222",N,Central Business District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,201,6,6,-80.0074376428228,40.4426666003107
237050509,20192770,0,2020-10-15T10:13:00,"6200 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,99,2709.1 Stalking Conduct or Repeatedly Acts Including Follows,1115,9,2,-79.9220514004315,40.4616553224018
237051462,20192773,14,2020-10-14T14:26:00,"Sharon St Pittsburgh, PA 15210",N,South Side Slopes,3,CRIM MISCHIEF,3304 Criminal Mischief.,1706,3,3,-79.9877535773763,40.421654878019
237060289,20192796,6,2020-10-15T10:53:00,"PPG Pl Pittsburgh, PA 15222",N,Central Business District,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,201,6,6,-80.0029330187117,40.4400745608487
237062188,20192783,14,2020-10-15T09:00:00,"7200 Block Bennett St Pittsburgh, PA 15208",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief.,1303,9,2,-79.8966319961519,40.4564560852674
237066812,20192794,27,2020-10-15T10:50:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",Y,Brighton Heights,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2701,1,1,-80.0438525222314,40.4795625086697
237070573,20192854,0,2020-10-15T12:00:00,"2200 Block Bedford Ave Pittsburgh, PA 15219",N,Middle Hill,2,99,9999 9999 - (Misc. Incident): Suspicious Text,501,6,3,-79.9781010622157,40.448129521411
237082258,20192893,11,2020-10-06T23:59:00,"200 Block Perry View Ave Pittsburgh, PA 15214",N,Perry North,1,CREDIT CARDS,4106 Access Device Fraud,2602,1,1,-80.0245612355908,40.4950183853656
