ID,STATE00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,AREA00,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
88,42,3,10300,42003010300,6600,388,P,1096325,859064,42,3,10300,42003010300,6600,388,P,1098543,861282,1095874,858613,99.96,99.95,99.76,99.69,6600,100,100,388,100,100
103,42,3,40900,42003040900,2969,1469,P,1487299,1323703,42,3,10300,42003010300,6600,388,P,1098543,861282,2669,2669,0.18,0.2,0.24,0.31,0,0,0,0,0,0
89,42,3,10300,42003010300,6600,388,P,1096325,859064,42,3,20100,42003020100,3629,2342,P,2159015,1679322,451,451,0.04,0.05,0.02,0.03,0,0,0,0,0,0
90,42,3,20100,42003020100,3629,2342,W,2157581,1677888,42,3,20100,42003020100,3629,2342,P,2159015,1679322,2157581,1677888,100,100,99.93,99.91,3629,100,100,2342,100,100
92,42,3,30500,42003030500,2258,1271,P,671691,671691,42,3,20100,42003020100,3629,2342,P,2159015,1679322,983,983,0.15,0.15,0.05,0.06,0,0,0,0,0,0
91,42,3,20300,42003020300,616,473,W,1922345,1593129,42,3,20300,42003020300,616,473,W,1922345,1593129,1922345,1593129,100,100,100,100,616,100,100,473,100,100
93,42,3,30500,42003030500,2258,1271,P,671691,671691,42,3,30500,42003030500,2256,1270,W,667607,667607,667607,667607,99.39,99.39,100,100,2256,99.91,100,1270,99.92,100
94,42,3,30500,42003030500,2258,1271,P,671691,671691,42,3,40200,42003040200,2604,687,P,613251,613251,3101,3101,0.46,0.46,0.51,0.51,2,0.09,0.08,1,0.08,0.15
95,42,3,40200,42003040200,2717,744,P,621501,621501,42,3,40200,42003040200,2604,687,P,613251,613251,609149,609149,98.01,98.01,99.33,99.33,2602,95.77,99.92,686,92.2,99.85
112,42,3,51100,42003051100,1122,731,P,184646,184646,42,3,40200,42003040200,2604,687,P,613251,613251,1001,1001,0.54,0.54,0.16,0.16,0,0,0,0,0,0
99,42,3,40400,42003040400,3284,1641,P,445724,445724,42,3,40400,42003040400,2488,1480,W,199462,199462,199462,199462,44.75,44.75,100,100,2488,75.76,100,1480,90.19,100
101,42,3,40500,42003040500,3694,1379,W,471939,471939,42,3,40500,42003040500,3694,1379,W,471939,471939,471939,471939,100,100,100,100,3694,100,100,1379,100,100
102,42,3,40600,42003040600,2392,1152,W,253063,253063,42,3,40600,42003040600,2392,1152,W,253063,253063,253063,253063,100,100,100,100,2392,100,100,1152,100,100
104,42,3,40900,42003040900,2969,1469,P,1487299,1323703,42,3,40900,42003040900,2969,1469,W,920943,920943,920943,920943,61.92,69.57,100,100,2969,100,100,1469,100,100
106,42,3,50100,42003050100,1707,1120,W,790374,790374,42,3,50100,42003050100,1707,1120,W,790374,790374,790374,790374,100,100,100,100,1707,100,100,1120,100,100
